MajorArea,WORLD,More developed regions,Less developed regions,Least developed countries,Less developed regions excluding least developed countries,High-income countries,Middle-income countries,Upper-middle-income countries,Lower-middle-income countries,Low-income countries,Sub-Saharan Africa,AFRICA,Eastern Africa,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Reunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,United Republic of Tanzania,Zambia,Zimbabwe,Middle Africa,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Northern Africa,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Southern Africa,Botswana,Lesotho,Namibia,South Africa,Swaziland,Western Africa,Benin,Burkina Faso,Cabo Verde,Côte d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,ASIA,Central Asia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Eastern Asia,China,China Hong Kong SAR,China Macao SAR,Dem. People's Republic of Korea,Japan,Mongolia,Republic of Korea,Southern Asia,Afghanistan,Bangladesh,Bhutan,India,Iran,Maldives,Nepal,Pakistan,Sri Lanka,South-Eastern Asia,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Western Asia,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,EUROPE,Eastern Europe,Belarus,Bulgaria,Czechia,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Northern Europe,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom,Southern Europe,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,TFYR Macedonia,Western Europe,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,LATIN AMERICA AND THE CARIBBEAN,Caribbean,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Caribbean Netherlands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten,Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Central America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,NORTHERN AMERICA,Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America,OCEANIA,Australia/New Zealand,Australia,New Zealand,Melanesia,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Micronesia,Guam,Kiribati,Marshall Islands,Micronesia,Nauru,Northern Mariana Islands,Palau,Polynesia,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands,Year
Italy,3416421.0,2854508.0,561913.0,2415.0,559498.0,2865574.0,548183.0,537390.0,10793.0,2352.0,13591.0,37604.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,404.0,360.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24013.0,3143.0,4657.0,13295.0,1296.0,0.0,1622.0,0.0,12032.0,161.0,0.0,1219.0,10652.0,0.0,728.0,0.0,0.0,201.0,0.0,0.0,123.0,102.0,0.0,252.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,9781.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.0,0.0,430.0,0.0,0.0,940.0,3.0,0.0,319.0,0.0,0.0,6.0,0.0,0.0,310.0,0.0,0.0,3.0,876.0,0.0,7.0,0.0,0.0,0.0,0.0,207.0,0.0,662.0,0.0,0.0,7213.0,0.0,0.0,0.0,120.0,0.0,0.0,4617.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.0,0.0,0.0,1663983.0,8496.0,10.0,113.0,255.0,389.0,6091.0,116.0,461.0,1020.0,41.0,0.0,98988.0,0.0,2203.0,0.0,0.0,504.0,38.0,1296.0,0.0,16.0,40.0,1090.0,4979.0,88822.0,48143.0,11287.0,109.0,165.0,2065.0,0.0,12933.0,0.0,0.0,665.0,0.0,985.0,2986.0,51.0,4654.0,12204.0,39.0,1508356.0,18566.0,242108.0,521793.0,486516.0,806.0,12479.0,3886.0,14055.0,208147.0,515105.0,9529.0,0.0,49.0,0.0,78.0,0.0,0.0,24.0,29.0,492.0,0.0,0.0,6960.0,0.0,143.0,1227.0,0.0,37.0,0.0,483.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,6466.0,0.0,1408.0,391.0,325.0,198.0,3503.0,187.0,454.0,499110.0,336040.0,883.0,70081.0,4422.0,2660.0,1252.0,0.0,108.0,0.0,699.0,2393.0,0.0,15780.0,64792.0,918065.0,81.0,337392.0,0.0,0.0,580592.0,271883.0,271520.0,271095.0,425.0,231.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Jamaica,588820.0,574958.0,13862.0,0.0,13862.0,584177.0,3973.0,3893.0,80.0,0.0,192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141552.0,6.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,139218.0,0.0,74.0,0.0,0.0,21.0,5.0,23.0,0.0,0.0,0.0,44.0,153.0,138898.0,137.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,38.0,0.0,0.0,7.0,0.0,0.0,0.0,20.0,0.0,2191.0,115.0,90.0,463.0,701.0,0.0,0.0,0.0,392.0,430.0,13666.0,11250.0,220.0,386.0,162.0,2792.0,622.0,272.0,450.0,3751.0,656.0,0.0,47.0,421.0,65.0,0.0,0.0,0.0,0.0,0.0,84.0,62.0,78.0,111.0,0.0,811.0,0.0,260.0,1934.0,445.0,356.0,16.0,0.0,20.0,116.0,39.0,942.0,482.0,27.0,5.0,24.0,14.0,96.0,13.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,220.0,432744.0,316.0,98288.0,0.0,0.0,334140.0,662.0,662.0,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Japan,609032.0,430357.0,178675.0,9732.0,168943.0,447810.0,160640.0,131006.0,29634.0,506.0,1554.0,7165.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,146.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,5611.0,0.0,1455.0,4156.0,0.0,0.0,0.0,0.0,1238.0,0.0,0.0,168.0,1070.0,0.0,66.0,0.0,0.0,2.0,0.0,0.0,30.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,61052.0,0.0,0.0,0.0,0.0,0.0,0.0,18801.0,4547.0,9505.0,0.0,180.0,0.0,122.0,4447.0,10078.0,0.0,9042.0,59.0,903.0,0.0,65.0,0.0,0.0,9.0,31037.0,83.0,58.0,12535.0,0.0,5255.0,0.0,2891.0,0.0,10091.0,0.0,124.0,1136.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,0.0,0.0,104440.0,1332.0,0.0,26.0,48.0,271.0,326.0,0.0,0.0,655.0,6.0,0.0,31624.0,0.0,935.0,0.0,0.0,372.0,17.0,102.0,0.0,4.0,14.0,826.0,1793.0,27561.0,16112.0,0.0,0.0,0.0,0.0,0.0,1185.0,0.0,13179.0,15.0,0.0,81.0,0.0,4.0,8.0,1640.0,0.0,55372.0,1636.0,2808.0,18064.0,24560.0,0.0,336.0,0.0,4076.0,3892.0,106692.0,1741.0,0.0,2.0,0.0,5.0,0.0,0.0,76.0,7.0,0.0,0.0,0.0,1256.0,0.0,0.0,221.0,0.0,0.0,0.0,163.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3756.0,0.0,207.0,40.0,84.0,106.0,3096.0,54.0,169.0,101195.0,5812.0,1401.0,86768.0,645.0,515.0,245.0,0.0,0.0,0.0,2648.0,2398.0,0.0,0.0,763.0,302020.0,109.0,11783.0,0.0,0.0,290128.0,27663.0,23897.0,21752.0,2145.0,364.0,0.0,0.0,263.0,101.0,0.0,3305.0,2455.0,0.0,0.0,66.0,0.0,715.0,69.0,97.0,0.0,0.0,21.0,0.0,26.0,0.0,50.0,0.0,0.0,1990
Jordan,313737.0,70267.0,243470.0,0.0,243470.0,220953.0,92784.0,24495.0,68289.0,0.0,54.0,15394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15340.0,2286.0,3386.0,9668.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5033.0,0.0,0.0,4851.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,221666.0,0.0,0.0,3442.0,110.0,0.0,7970.0,0.0,0.0,21348.0,1380.0,4527.0,10999.0,90278.0,55317.0,0.0,217.0,26078.0,0.0,34196.0,7005.0,13.0,83.0,25.0,350.0,223.0,0.0,261.0,1555.0,9.0,4486.0,4018.0,0.0,579.0,0.0,0.0,58.0,0.0,22.0,0.0,3.0,0.0,48.0,839.0,2469.0,8423.0,0.0,0.0,0.0,0.0,0.0,2473.0,0.0,5005.0,12.0,0.0,3.0,0.0,12.0,8.0,910.0,0.0,14750.0,412.0,203.0,940.0,12527.0,0.0,0.0,0.0,389.0,279.0,1374.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,8.0,0.0,0.0,31.0,35.0,13.0,43.0,1069.0,160.0,20.0,0.0,139.0,237.0,24.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,462.0,33896.0,0.0,2025.0,0.0,0.0,31871.0,2175.0,2175.0,2175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Kazakhstan,2972433.0,2834662.0,137771.0,0.0,137771.0,58669.0,2913764.0,2468541.0,445223.0,0.0,0.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,0.0,142.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137213.0,100886.0,0.0,38405.0,1101.0,31036.0,30344.0,625.0,0.0,0.0,0.0,0.0,0.0,528.0,97.0,1408.0,0.0,0.0,0.0,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34294.0,787.0,4940.0,0.0,59.0,21017.0,0.0,6279.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.0,0.0,0.0,2824888.0,2788144.0,81148.0,89.0,454.0,469.0,4778.0,20541.0,0.0,2349697.0,21.0,330947.0,21597.0,0.0,38.0,7616.0,0.0,0.0,0.0,50.0,0.0,528.0,13109.0,0.0,135.0,121.0,3631.0,0.0,0.0,0.0,0.0,0.0,3531.0,0.0,50.0,0.0,0.0,27.0,0.0,11.0,4.0,8.0,0.0,11516.0,608.0,45.0,436.0,10199.0,0.0,0.0,0.0,4.0,224.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9477.0,0.0,3661.0,0.0,0.0,5816.0,297.0,297.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Kenya,242119.0,154331.0,87788.0,75003.0,12785.0,154006.0,19661.0,4795.0,14866.0,68452.0,78939.0,79445.0,68910.0,186.0,87.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,25.0,0.0,0.0,33424.0,33613.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6624.0,0.0,131.0,375.0,0.0,6118.0,0.0,0.0,3903.0,122.0,0.0,1641.0,2140.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8170.0,0.0,0.0,0.0,8170.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,119096.0,501.0,0.0,2.0,11.0,18.0,75.0,0.0,0.0,394.0,1.0,0.0,112018.0,0.0,609.0,0.0,2.0,98.0,10.0,93.0,0.0,0.0,0.0,489.0,995.0,109722.0,910.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,134.0,18.0,0.0,43.0,0.0,0.0,5.0,230.0,0.0,5667.0,542.0,242.0,947.0,1361.0,0.0,0.0,0.0,999.0,1576.0,106.0,17.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,4.0,0.0,0.0,0.0,69.0,0.0,0.0,16.0,6.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30285.0,0.0,15914.0,0.0,0.0,14371.0,4950.0,4950.0,4680.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Kiribati,4053.0,989.0,3064.0,1054.0,2010.0,988.0,3065.0,2074.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4002.0,938.0,428.0,510.0,1701.0,710.0,0.0,0.0,991.0,0.0,1278.0,0.0,0.0,94.0,0.0,1184.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,63.0,0.0,1990
Kuwait,81482.0,16296.0,65186.0,29.0,65157.0,37136.0,44346.0,8350.0,35996.0,0.0,119.0,9647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9528.0,1420.0,2103.0,6005.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,90.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,55446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16880.0,0.0,0.0,0.0,16860.0,0.0,0.0,0.0,0.0,20.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,38519.0,0.0,0.0,1728.0,58.0,0.0,309.0,0.0,233.0,0.0,106.0,64.0,6155.0,0.0,16702.0,0.0,69.0,13095.0,0.0,4046.0,629.0,0.0,9.0,14.0,154.0,194.0,0.0,0.0,248.0,10.0,0.0,1632.0,0.0,96.0,0.0,0.0,17.0,0.0,39.0,0.0,1.0,0.0,24.0,635.0,820.0,135.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,49.0,8.0,0.0,0.0,0.0,8.0,0.0,41.0,0.0,1650.0,140.0,7.0,680.0,0.0,0.0,0.0,0.0,647.0,176.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,2.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,11331.0,0.0,2442.0,0.0,0.0,8889.0,919.0,919.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Kyrgyzstan,522615.0,483080.0,39535.0,0.0,39535.0,7158.0,515457.0,449222.0,66235.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39483.0,31129.0,5606.0,0.0,20042.0,0.0,5481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8354.0,0.0,3487.0,0.0,6.0,3360.0,0.0,1078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423.0,0.0,0.0,480890.0,477272.0,6071.0,10.0,37.0,116.0,106.0,0.0,0.0,433625.0,3.0,37304.0,2781.0,0.0,2.0,1120.0,0.0,0.0,0.0,6.0,0.0,593.0,1006.0,0.0,36.0,18.0,94.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,743.0,357.0,45.0,103.0,199.0,0.0,0.0,0.0,0.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2089.0,0.0,580.0,0.0,0.0,1509.0,101.0,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
Lao People's Democratic Republic,482094.0,250850.0,231244.0,58843.0,172401.0,251279.0,229895.0,165694.0,64201.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229221.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,58722.0,0.0,58722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170494.0,0.0,121.0,0.0,0.0,0.0,0.0,4321.0,0.0,165019.0,0.0,1033.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54241.0,142.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,100.0,0.0,0.0,428.0,0.0,18.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,56.0,284.0,64.0,103.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,53568.0,69.0,105.0,50300.0,2315.0,0.0,0.0,0.0,55.0,724.0,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.0,539.0,0.0,0.0,13.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,185437.0,0.0,13860.0,0.0,0.0,171577.0,11687.0,11172.0,11172.0,0.0,515.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990
