Year,MajorArea,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total
2015,Mexico,21.2,22.4,12.8,9.4,5.4,4.9,4.8,4,2.9,2.4,2.1,1.7,1.7,1.2,0.9,2.3,100
2015,Nicaragua,10.2,8,9.1,9.7,13.4,12.8,7.3,5.6,4.9,4.4,3.7,3.1,2.5,1.9,1.4,1.8,100
2015,Panama,1.6,3.1,4.5,6,8.5,11,11.4,10.6,9.5,8.3,6.8,5.5,4.4,3,2.2,3.5,100
2015,South America,3.6,4.1,4.5,5.4,7.2,9.3,9.4,8.8,7.9,7,6.1,5.9,5.3,4.3,3.6,7.4,100
2015,Argentina,1.3,2.1,2.9,4.6,6.7,9,9.4,9,8.2,7.4,6.5,7.2,6.4,5.2,4.3,9.9,100
2015,Bolivia (Plurinational State of),12.1,9.7,8.5,7.7,8.6,10.2,8.8,6.9,6.1,5.4,4.5,3.4,2.5,2.1,1.5,2,100
2015,Brazil,2.4,4.3,4.5,4.5,6.2,8.5,7.8,6.5,5.8,4.5,4.7,5,6.3,5.8,5.4,17.9,100
2015,Chile,5.5,5.3,6,6.5,10.8,13.1,12.5,11.1,8.3,5.4,3.6,2.8,2.6,1.3,1.4,3.6,100
2015,Colombia,11.3,8.4,7.9,8.9,9.9,10.2,8.9,7,5.6,4.6,3.9,3.5,2.9,2.7,2,2.4,100
2015,Ecuador,9.3,11.4,10.5,9.3,9.2,9.7,8.9,7.9,6.2,4.8,3.7,3,2.4,1.3,0.9,1.5,100
2015,Falkland Islands (Malvinas),6.7,5.9,5.3,6.6,8.5,10.3,11.3,11.2,9.9,7.4,5.2,3.3,2.9,1.6,1,3,100
2015,French Guiana,2.4,3.1,4.4,6.7,8.2,12.9,13.1,11.4,9.8,8.3,6.3,4.9,3.3,2.1,1.4,1.5,100
2015,Guyana,7.2,5.4,4.7,7,11.5,14.2,12.5,9.7,7.5,5.8,4.2,3.2,2.5,1.9,1.3,1.4,100
2015,Paraguay,3.7,4.3,5.5,6.5,7.9,9.1,10,10,9.3,8.1,6.6,5.5,4.3,3.4,2.3,3.4,100
2015,Peru,7.1,7.8,8.8,7.9,6.3,6.5,7.5,7.3,6.6,6,5.4,5.1,4.8,4.6,4.1,4.2,100
2015,Suriname,9,8.5,8.7,9,9.4,9.6,9.2,8.2,6.9,5.6,4.5,3.7,2.9,2.2,1.2,1.5,100
2015,Uruguay,5.3,5,4.6,4.4,5.9,6.9,6.3,5.5,4.9,4.8,4.8,4.8,4.4,7,8.4,17.1,100
2015,Venezuela (Bolivarian Republic of),3.7,3.6,4,4.8,6.2,8.5,9.4,9.4,9.2,9,8.1,7.1,5.9,4.5,3.6,3,100
2015,NORTHERN AMERICA,0.6,1.4,2.1,3.4,4.9,7.5,9.5,10.2,10.4,9.8,8.9,7.6,6.6,5.5,4.1,7.6,100
2015,Bermuda,2.7,3,2.8,3.1,4.1,10.4,11.4,11,9.6,8.8,8.3,6.8,5.3,4.3,3.4,5,100
2015,Canada,0.7,2.4,3.1,3.5,4.3,7.6,10,9.3,8.8,8.7,8.3,7.1,6.4,6.1,4.9,8.8,100
2015,Greenland,4.3,5.8,4.7,2.8,4.8,11.3,14.4,11.6,9.2,7.8,7.5,6.7,6.2,1.7,0.5,0.7,100
2015,Saint Pierre and Miquelon,4.7,5.3,7,7.2,6.8,8.9,10.2,10.4,9.4,8.1,6.8,4.7,2.3,1.3,1.1,5.7,100
2015,USA,0.6,1.2,2,3.4,5,7.5,9.4,10.4,10.7,9.9,9,7.6,6.6,5.4,3.9,7.4,100
2015,OCEANIA,1.1,2.3,2.9,4,6.3,8.8,9.6,8.4,8.2,8,7.9,7.1,6.3,6,4.4,8.7,100
2015,Australia/New Zealand,1,2.2,2.9,3.9,6.2,8.8,9.5,8.3,8.1,8,8,7.2,6.4,6.1,4.5,8.9,100
2015,Australia,0.9,2.1,2.7,3.6,6.1,8.9,9.6,8.3,7.9,7.8,8,7.3,6.5,6.3,4.6,9.2,100
2015,New Zealand,1.3,2.9,4.1,5.6,6.8,8.4,8.9,8.2,9.4,9,7.8,6.4,5.6,4.8,3.7,7.1,100
2015,Melanesia,6.4,5,5,5.8,6.3,7.4,8.5,8.7,8.9,8.6,7.4,6,5,4.4,2.9,3.7,100
2015,Fiji,6.4,5.2,4.5,5.4,7.7,9.7,10.3,9.9,8.9,7.6,6.2,5.1,4.4,3.4,2.3,3.1,100
2015,New Caledonia,2.1,2.5,3.9,4.8,5.7,7,8.5,8.8,9.8,10.1,8.8,7.2,6.1,5.6,3.8,5,100
2015,Papua New Guinea,17.1,10.9,8.1,8.6,7.1,6.9,6.9,7.1,6.4,5.4,4.6,3.7,2.8,2,1.4,1,100
2015,Solomon Islands,6.4,6.3,5.8,4.8,4.6,7,10.7,12.1,10.4,7.9,6.2,5.1,4.2,3.3,2.5,2.6,100
2015,Vanuatu,9.7,7.8,6,5.6,6.9,8.7,9.7,9.9,9,7.5,6.2,4.6,3.3,2.7,0.9,1.5,100
2015,Micronesia,3.9,3.7,4.6,6.2,7.3,10.2,11.5,11.7,10.8,8.3,6.6,5.1,3.4,2.5,2,2.3,100
2015,Guam,3.1,3.3,4.6,6.5,7.7,10.8,11.4,10.4,9.9,7.8,6.9,5.7,3.7,2.9,2.6,2.9,100
2015,Kiribati,5.5,5.9,7.4,10.8,11.7,11.4,10.6,8.8,8.1,6.7,3.6,2.8,2.5,1.4,0.9,2,100
2015,Marshall Islands,9.6,7.3,5.7,5.6,8.6,10.8,12.2,11.2,8.6,6.3,4.6,3.1,2,1.5,0.6,2.2,100
2015,Micronesia (Fed. States of),6.6,6.6,7.6,7.2,7.6,9.6,11.4,10.9,8.5,6.5,5.1,4.1,3.2,2.2,1.3,1.5,100
2015,Nauru,6.7,4.9,4.5,5.6,8.6,11.3,11.5,10.6,9.3,7.8,5.6,4,3.1,2.2,1.7,2.5,100
2015,Northern Mariana Islands,4.8,4.3,4.1,5,5.5,8,11.8,16.1,14.1,10,6.2,3.9,2.7,1.7,1,0.9,100
2015,Palau,2.8,2.8,2.4,4.2,6.8,10.4,13.2,12.1,11.9,11.8,8.8,6.6,3.6,1.5,0.7,0.7,100
2015,Polynesia,5.1,5.4,6.3,6.2,6.3,8,9.7,10.1,10.2,8.6,7.7,5.7,4,3,1.6,2,100
2015,American Samoa,3.5,3.2,4.4,5.9,7,8.4,9.9,10.3,10.5,9.9,9.4,6.7,4.4,3.2,1.9,1.7,100
2015,Cook Islands,11.3,8.1,7.6,8.7,10.6,11,9.3,7.2,5.9,4.8,4,3.1,2.3,2.3,1.3,2.5,100
2015,French Polynesia,2.9,4.7,6.1,4.5,3.3,6.6,10,11.6,12.5,10,8.8,6.6,4.7,3.5,1.7,2.4,100
2015,Niue,15.3,13.7,12.2,10.2,9,7.8,7.5,6.3,4.3,3.1,2.4,2,2,2,0.8,1.6,100
2015,Samoa,12.6,12.4,12.1,11.3,10,8.2,6.5,5.5,4.8,3.9,3,2.5,2.1,1.9,1.6,1.6,100
2015,Tokelau,12.2,15,15.7,14.6,11.4,8.3,5.1,3.5,2,1.6,1.2,1.2,0.4,2.4,2.8,2.8,100
2015,Tonga,10.4,8.5,7.5,7.1,8.1,9.3,10,9.8,8.3,6.1,4.3,3.3,2.7,2.1,0.6,1.8,100
2015,Tuvalu,4.8,3.2,4.8,4.8,6.3,6.3,6.3,7.9,7.9,7.9,4.8,3.2,1.6,0,0,30.2,100
2015,Wallis and Futuna Islands,4.9,5.7,7.1,8.6,10.3,11.4,11.2,9.9,8.2,6.4,5.1,4.2,3,2.1,0.8,1.1,100
2017,WORLD,3.1,3.4,3.4,4.3,6.5,9.2,10.3,10.1,9.3,8.3,7.2,6.3,5.2,4.3,3.3,5.8,100
2017,More developed regions,0.9,1.7,2.2,3.3,5.6,8.3,9.8,10.1,9.8,9.3,8.5,7.5,6.4,5.3,4.1,7.3,100
2017,Less developed regions,6.4,6,5.3,5.8,7.9,10.5,11.2,10.1,8.4,6.8,5.3,4.4,3.5,2.7,2.1,3.6,100
2017,Least developed countries,8.7,8.2,7.1,7.7,9.5,10.5,10,8.7,7.4,6.1,4.8,3.7,2.8,2,1.4,1.5,100
2017,Less developed regions. excluding least developed countries,6,5.6,5,5.4,7.7,10.6,11.4,10.4,8.6,7,5.4,4.5,3.6,2.8,2.3,3.9,100
2017,High-income countries,1.7,2.4,2.7,3.6,6,9,10.6,10.7,9.9,8.9,7.8,6.6,5.5,4.5,3.5,6.5,100
2017,Middle-income countries,5.1,4.6,4.3,5,7.2,9.4,9.9,9.2,8.2,7.4,6.6,5.9,5,4,3.3,5.1,100
2017,Upper-middle-income countries,4.6,4.3,4.1,4.9,7.4,9.9,10.4,9.5,8.3,7.3,6.4,5.7,5.1,4,3.1,5.2,100
2017,Lower-middle-income countries,5.8,5.1,4.6,5.1,6.8,8.6,9.1,8.7,8.2,7.5,6.9,6.1,5,4.1,3.5,5,100
2017,Low-income countries,8,7.9,7.2,8,9.5,10.3,9.8,8.7,7.4,6.2,4.9,3.9,2.9,2.1,1.4,1.6,100
2017,Sub-Saharan Africa,9.1,8.1,7.1,7.5,9.2,10.6,10.2,8.9,7.3,5.9,4.5,3.6,2.7,2,1.5,1.7,100
2017,AFRICA,9,8,7,7.5,9.2,10.6,10.2,8.9,7.4,5.9,4.6,3.6,2.8,2.1,1.5,1.7,100
2017,Eastern Africa,9.1,8.6,7.5,7.9,9.1,9.9,9.5,8.5,7.2,6.1,4.9,3.9,2.9,2.1,1.4,1.5,100
2017,Burundi,13.3,8.7,5.9,5.7,7.7,8.8,8.7,8.2,7.7,7,5.6,4.4,3.1,2.1,1.4,1.6,100
2017,Comoros,3.7,3.7,4.4,6.2,8.7,10.6,11.1,10.7,9.9,8.6,6.9,5.3,3.7,2.8,1.9,1.9,100
2017,Djibouti,3.3,4.4,6.5,9.6,12.6,14,12.5,10.1,7.5,5.5,4.1,3.2,2.5,1.9,1,1.2,100
2017,Eritrea,6.5,5.8,6,7.6,9.4,10.6,10.6,9.7,8.4,7,5.7,4.6,3.3,2.3,1.1,1.4,100
2017,Ethiopia,12.2,15.3,10,8.6,7.6,7.7,7.6,7,6.1,5.3,4.3,3.3,2.3,1.4,0.7,0.7,100
2017,Kenya,14.5,9.9,8.6,8.8,8.8,8.9,8.3,7.1,6.1,5,3.9,3,2.4,1.9,1.3,1.4,100
2017,Madagascar,6.6,6.6,6.6,6.9,7,6.9,7,7.6,7.9,7.4,6.4,5.7,5.2,4.6,3.7,3.8,100
2017,Malawi,6.1,5.7,5.6,6.2,7.7,9.5,9.9,9.2,8.1,7.2,6,5,4,3.1,2.5,4.2,100
2017,Mauritius,2.2,2.6,3.4,5.5,9.7,13.2,12.3,12.2,11.3,9,6.6,4.3,2.9,1.8,1.3,1.7,100
2017,Mayotte,3.5,4.2,5.2,7.1,10,12.3,12.9,12,10.1,7.7,5,3.1,2.3,1.9,1.3,1.4,100
2017,Mozambique,10.3,8.6,7.1,7.2,9,10.2,10.1,9.9,7.7,5.8,4.4,3.2,2.3,1.7,1.2,1.4,100
2017,Réunion,3.3,7.8,10.2,10.4,7.6,8.8,10.1,10.2,8.8,7.1,6,3.8,2.3,1.4,0.9,1.3,100
2017,Rwanda,3.7,4.5,6.1,10.8,14.1,13.2,11,9,7.2,5.8,4.4,3.1,1.5,1.7,1.5,2.3,100
2017,Seychelles,2.7,3.2,3,2.9,5.9,10.2,14,14.8,13.5,10.4,7.7,4.9,2.9,1.5,1.1,1.5,100
2017,Somalia,12.9,11,9.6,8.4,8.4,8.9,8.8,7.8,6.5,5.4,4.2,3.1,2.3,1.3,0.7,0.8,100
2017,South Sudan,9.1,8.7,8.1,8,9,9.7,9.5,8.5,7.3,6.2,4.9,3.9,3,1.8,1.1,1.2,100
2017,Uganda,7.9,7.7,7.2,7.8,9.7,11.1,10.4,8.7,7.1,5.7,4.7,3.9,3.2,2.4,1.3,1.3,100
2017,United Republic of Tanzania,6.1,5.2,4.5,5.8,8,9.5,9.7,10.3,9.3,8.5,7.1,5.6,3.4,2.6,2,2.5,100
2017,Zambia,4.9,4.6,5.2,7.5,9.9,11.2,11,9.9,8.6,7.2,5.8,4.6,3.6,2.6,1.8,1.6,100
2017,Zimbabwe,3.7,3.9,4.6,6.2,8.3,9.7,9.9,9.4,8.7,8,6.9,6,5.2,4.6,2.9,1.9,100
2017,Middle Africa,11.7,10.1,7.7,7.2,8.5,9.5,9.1,8.2,6.9,5.8,4.6,3.6,2.6,1.9,1.2,1.3,100
2017,Angola,23.4,18.9,9.2,3.2,4.2,5.6,6.3,6,5.1,4.3,3.5,2.8,2.1,1.9,1.4,2,100
