China,0,0,0,0.1,0.1,0.1,0.1
China. Hong Kong SAR,38.4,39.8,40.1,39.9,39.6,39.2,39.1
China. Macao SAR,59.6,58.3,56.3,57.9,59.3,57,56.8
North Korea,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Japan,0.9,1.1,1.3,1.6,1.7,1.7,1.8
Mongolia,0.3,0.3,0.3,0.5,0.6,0.6,0.6
South Korea,0.1,0.3,0.5,1,1.9,2.3,2.3
Southern Asia,1.6,1.2,1.1,0.9,0.8,0.8,0.7
Afghanistan,0.5,0.4,0.4,0.3,0.4,1.5,0.4
Bangladesh,0.8,0.8,0.8,0.8,0.9,0.9,0.9
Bhutan,4.4,5.4,5.6,6.1,6.7,6.5,6.5
India,0.9,0.7,0.6,0.5,0.4,0.4,0.4
Iran,7.6,4.8,4.2,3.6,3.7,3.4,3.3
Maldives,3.9,7.3,9.7,14.1,15,15.4,15.4
Nepal,2.3,3.2,3,2.6,2.1,1.8,1.7
Pakistan,5.8,3,3,2.1,2.3,1.9,1.7
Sri Lanka,0.2,0.2,0.2,0.2,0.2,0.2,0.2
South-Eastern Asia,0.6,0.8,0.9,1.2,1.5,1.5,1.5
Brunei Darussalam,28.3,28.5,28.9,27,25.9,24.6,25.3
Cambodia,0.4,0.9,1.2,0.9,0.6,0.5,0.5
Indonesia,0.3,0.2,0.1,0.1,0.1,0.1,0.1
Laos,0.5,0.5,0.4,0.4,0.5,0.7,0.7
Malaysia,3.9,4.6,5.5,6.7,8.6,8.6,8.5
Myanmar,0.3,0.3,0.2,0.2,0.2,0.1,0.1
Philippines,0.2,0.3,0.4,0.3,0.2,0.2,0.2
Singapore,24.1,28.5,34.5,38.1,42.7,46,46
Thailand,0.9,1.4,2,3.3,4.8,5.1,5.2
Timor-Leste,1.2,1.1,1.2,1.1,1,0.9,0.9
Viet Nam,0,0.1,0.1,0.1,0.1,0.1,0.1
Western Asia,10.2,10.1,10,10.5,13.2,15.4,16
Armenia,18.6,21.6,21.4,15.7,7.7,6.6,6.5
Azerbaijan,5,4.4,4,3.5,3.1,2.7,2.6
Bahrain,34.9,36.5,36,45.4,53,51.3,48.4
Cyprus,5.7,7.2,8.5,11.4,16.9,16.5,16
Georgia,5.6,3,1.6,1.6,1.7,1.9,2
Iraq,0.5,1,0.9,0.5,0.4,1,1
Israel,36.3,33.6,30.8,28.6,26.3,24.9,23.6
Jordan,32.2,33.6,37.8,40.7,37.9,34,33.3
Kuwait,51.2,57.2,55,58.6,62.4,72.8,75.5
Lebanon,19.4,20.1,21.4,19,18.9,33.7,31.9
Oman,16.8,24.5,27.5,26.5,26.8,43.2,44.7
