Brunei Darussalam,259,297,333,365,389,418,429
Cambodia,8973,10654,12152,1327,14309,15518,16005
Indonesia,181437,196958,21154,226713,242524,258162,263991
Lao People's Rep. Dem.,4258,4852,5329,5754,6246,6664,6858
Malaysia,18038,20496,23186,25659,28112,30723,31624
Myanmar,40626,43238,46095,48483,50156,52404,53371
Philippines,61947,69836,77992,86274,93727,101716,104918
Singapore,3013,3479,3914,4491,5074,5535,5709
Thailand,56583,59492,62958,65425,67209,68658,69038
Timor-Leste,752,871,872,1026,111,1241,1296
Viet Nam,6821,75199,80286,84309,88473,93572,95541
Western Asia,148788,166864,185019,205731,232738,258124,26766
Armenia,3538,3217,307,2981,2877,2917,293
Azerbaijan,7243,7775,8123,8539,9032,9617,9828
Bahrain,496,564,665,889,1241,1372,1493
Cyprus,767,855,943,1028,1113,1161,118
Georgia,541,502,4722,4487,4232,3952,3912
Iraq,17469,20208,23565,27008,30763,36116,38275
Israel,45,5334,6014,6603,7426,8065,8322
Jordan,3561,4573,5103,5714,7182,9159,9702
Kuwait,21,1611,2051,2277,2998,3936,4137
Lebanon,2703,3033,3235,3987,4337,5851,6082
Oman,1812,2204,2268,2511,3041,42,4636
Qatar,476,513,592,865,178,2482,2639
Saudi Arabia,16327,18736,20764,23906,27426,31557,32938
State of Palestine,2101,2618,3223,3576,4067,4663,4921
Syrian Arab Republic,12446,14345,16411,18295,21019,18735,1827
Turkey,53922,58486,6324,67903,72327,78271,80745
United Arab Emirates,186,2449,3155,458,8271,9154,94
Yemen,12057,15321,17875,20583,23607,26916,2825
EUROPE,721699,728085,727201,73029,737164,740814,742074
Eastern Europe,309902,309557,303958,297511,294541,293244,292454
Belarus,10217,10142,9934,9622,9473,9486,9468
Bulgaria,8841,8379,7998,7684,7405,7177,7085
Czechia,10341,10358,1029,10258,10536,10604,10618
Hungary,10378,1035,10221,10086,9928,9784,9722
Poland,37955,38453,3855,38363,38323,38265,38171
Republic of Moldova,4364,4339,4201,4158,4084,4066,4051
Romania,23489,22965,22128,21431,2044,19877,19679
Russian Federation,147564,148289,146397,143618,143154,143888,14399
Slovakia,5288,5375,5399,5399,5404,5439,5448
Ukraine,51464,50906,4884,46892,45793,44658,44223
Northern Europe,92142,93281,94544,96377,100314,103097,1042
Channel Islands,141,144,149,154,160,164,165
Denmark,5141,5233,5341,5422,5555,5689,5734
Estonia,1565,1433,1399,1356,1332,1315,131
Faeroe Islands,48,46,47,48,49,49,49
Finland,4996,5119,5188,5259,5366,5482,5523
Iceland,255,268,280,295,320,330,335
Ireland,3569,3652,3849,4213,4627,47,4762
Isle of Man,68,70,73,76,80,83,84
Latvia,2664,2508,2384,2252,2119,1993,195
Lithuania,3696,3627,3502,3344,3124,2932,289
Norway,4247,4367,4499,4632,4886,52,5305
Sweden,8567,8836,8882,9039,939,9764,9911
United Kingdom,57183,57978,58951,60287,63307,65397,66182
Southern Europe,143765,144632,145657,150393,153943,152441,151989
Albania,3281,3107,3122,3079,2941,2923,293
Andorra,55,64,65,79,84,78,77
Bosnia and Herzegovina,4463,3844,3767,3782,3722,3536,3507
Croatia,4776,4617,4428,4378,4328,4236,4189
Gibraltar,29,30,31,32,33,34,35
Greece,10249,10789,11142,11301,11446,11218,1116
Holy See,1,1,1,1,1,1,1
Italy,57127,57255,57294,58808,5973,59504,5936
Malta,364,380,397,407,416,428,431
Montenegro,615,620,614,616,624,628,629
Portugal,9953,1015,10355,10566,10652,10418,1033
San Marino,24,26,27,29,31,33,33
Serbia,9518,9884,9488,9215,903,8851,8791
Slovenia,2006,1991,1988,1996,2045,2075,208
Spain,39306,3989,40904,44043,46789,46398,46354
TFYR Macedonia,1996,1983,2035,206,2071,2079,2083
Western Europe,17589,180615,183042,18601,188366,192032,193431
Austria,7724,799,8069,8254,841,8679,8735
Belgium,10007,10186,10282,10547,10939,11288,11429
France,56961,58242,59608,61234,63027,64457,6498
Germany,79118,81241,81488,81671,80895,81708,82114
