,MajorArea,WORLD,More developed regions,Less developed regions,Least developed countries,Less developed regions excluding least developed countries,High-income countries,Middle-income countries,Upper-middle-income countries,Lower-middle-income countries,Low-income countries,Sub-Saharan Africa,AFRICA,Eastern Africa,Burundi,Comoros,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Malawi,Mauritius,Mayotte,Mozambique,Reunion,Rwanda,Seychelles,Somalia,South Sudan,Uganda,Tanzania,Zambia,Zimbabwe,Middle Africa,Angola,Cameroon,Central African Republic,Chad,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,Sao Tome and Principe,Northern Africa,Algeria,Egypt,Libya,Morocco,Sudan,Tunisia,Western Sahara,Southern Africa,Botswana,Lesotho,Namibia,South Africa,Swaziland,Western Africa,Benin,Burkina Faso,Cabo Verde,Cote d'Ivoire,Gambia,Ghana,Guinea,Guinea-Bissau,Liberia,Mali,Mauritania,Niger,Nigeria,Saint Helena,Senegal,Sierra Leone,Togo,ASIA,Central Asia,Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,Eastern Asia,China,China Hong Kong SAR,China Macao SAR,North Korea,Japan,Mongolia,South Korea,Southern Asia,Afghanistan,Bangladesh,Bhutan,India,Iran,Maldives,Nepal,Pakistan,Sri Lanka,South-Eastern Asia,Brunei Darussalam,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Myanmar,Philippines,Singapore,Thailand,Timor-Leste,Viet Nam,Western Asia,Armenia,Azerbaijan,Bahrain,Cyprus,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,State of Palestine,Syrian Arab Republic,Turkey,United Arab Emirates,Yemen,EUROPE,Eastern Europe,Belarus,Bulgaria,Czechia,Hungary,Poland,Republic of Moldova,Romania,Russian Federation,Slovakia,Ukraine,Northern Europe,Channel Islands,Denmark,Estonia,Faeroe Islands,Finland,Iceland,Ireland,Isle of Man,Latvia,Lithuania,Norway,Sweden,United Kingdom,Southern Europe,Albania,Andorra,Bosnia and Herzegovina,Croatia,Gibraltar,Greece,Holy See,Italy,Malta,Montenegro,Portugal,San Marino,Serbia,Slovenia,Spain,TFYR Macedonia,Western Europe,Austria,Belgium,France,Germany,Liechtenstein,Luxembourg,Monaco,Netherlands,Switzerland,LATIN AMERICA AND THE CARIBBEAN,Caribbean,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,British Virgin Islands,Caribbean Netherlands,Cayman Islands,Cuba,Curacao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten,Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Central America,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,South America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Falkland Islands,French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela,NORTHERN AMERICA,Bermuda,Canada,Greenland,Saint Pierre and Miquelon,USA,OCEANIA,Australia/New Zealand,Australia,New Zealand,Melanesia,Fiji,New Caledonia,Papua New Guinea,Solomon Islands,Vanuatu,Micronesia,Guam,Kiribati,Marshall Islands,Micronesia.1,Nauru,Northern Mariana Islands,Palau,Polynesia,American Samoa,Cook Islands,French Polynesia,Niue,Samoa,Tokelau,Tonga,Tuvalu,Wallis and Futuna Islands,Year
235,Other South,5428046,2374823,3053223,613012,2440211,2822669,2089365,736036,1353329,498526,788577,815206,333595,33396,839,4478,935,31136,69611,2523,39468,411,703,57228,6979,21004,396,988,0,20980,3574,9287,29659,144264,3427,42777,17851,5416,3634,67362,482,3247,68,60582,8871,6820,0,7119,33953,3742,77,47361,4356,1047,2477,38038,1443,229404,15105,20390,519,20279,2829,6755,1321,590,13407,16808,1453,7747,86999,18,25092,636,9456,1930347,58262,0,5597,259,1666,50740,371745,80708,261185,3091,2897,19149,561,4154,251214,12059,45496,536,106464,45540,554,36715,2801,1049,235636,658,4002,20994,1855,56734,8893,17561,122922,29,1049,939,1013490,21785,2070,3621,132,1983,22927,18701,1662,24174,2631,14193,6192,142112,20262,523154,144020,33691,30180,457605,222928,105,522,0,1336,34969,1194,2098,7322,240,175142,55547,350,0,96,70,391,0,0,560,0,3659,8990,32552,8879,41797,1558,209,611,27593,384,0,344,0,142,0,3564,59,436,916,5128,853,137333,0,16038,0,74262,26,271,3018,2932,40786,311433,34277,755,430,2983,611,3272,419,842,23,2822,0,350,334,545,3440,1115,2274,1030,260,3071,1505,1670,219,0,2738,399,3170,163812,920,160059,140,42,86,1478,743,344,113344,57776,282,22228,0,194,12650,14,2751,478,4178,305,6460,4731,1297,1846061,633,2515,34,173,1842706,67394,52008,27180,24828,5205,1413,1233,1462,215,882,4971,1518,186,133,1722,157,1085,170,5210,598,51,3217,22,192,18,1068,35,9,1995
236,Afghanistan,3625571,170930,3454641,0,3454641,329491,3296080,2056340,1239740,0,97,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,0,188,452,0,0,0,0,97,0,0,61,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3453717,12248,0,0,12248,0,0,0,0,0,0,0,0,0,0,3254048,0,0,0,12026,2029435,0,0,1212572,15,78,0,0,0,0,36,0,33,0,9,0,0,187343,0,223,236,3,0,284,2836,75,1068,0,0,417,170388,0,92,9633,2088,0,111559,19204,216,223,77,403,187,0,0,15576,54,2468,14447,0,1648,0,0,144,1,79,0,22,45,351,3997,8160,747,0,0,0,0,0,472,0,236,0,0,0,0,0,2,37,0,77161,5357,38,3455,51537,0,0,0,14531,2243,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,11,0,0,0,0,22,0,154,20,1,0,8,104,21,0,0,0,0,0,0,0,0,50989,0,13677,0,0,37312,8382,8382,7893,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
237,Albania,500353,496881,3472,0,3472,436611,63742,63077,665,0,63,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,96,266,0,0,0,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,0,566,0,0,0,0,2037,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,1939,0,0,469863,2214,0,316,66,113,70,0,632,988,29,0,1851,0,45,0,0,17,15,158,0,6,0,81,348,1181,448827,0,0,0,83,0,230218,0,159671,19,0,24,28,364,51,360,58009,16971,1955,1354,3501,8303,0,275,0,267,1316,444,184,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,258,144,3,0,24,52,19,0,0,0,0,0,0,0,16,25703,0,3263,0,0,22440,1315,1315,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
238,Algeria,965162,903755,61407,6042,55365,929204,31159,5336,25823,4493,7007,31802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,41,0,24795,0,573,2079,8429,0,13669,45,917,0,0,684,233,0,6049,0,0,0,0,0,7,0,0,0,507,1549,364,0,0,3622,0,0,27454,160,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,0,0,0,0,0,0,1069,0,0,0,0,26225,0,0,0,13,0,0,25514,320,0,0,0,0,0,0,0,378,0,0,882932,2407,41,105,121,365,549,0,5,1189,32,0,10384,0,717,0,0,305,17,313,0,9,0,558,1567,6898,24147,0,0,0,0,0,258,0,10991,25,0,118,0,41,8,12706,0,845994,802,9643,814417,12366,0,92,0,2694,5980,893,245,0,0,0,0,0,0,0,0,78,0,0,0,0,99,0,0,68,0,0,0,0,0,0,0,0,0,148,0,21,0,0,0,87,40,0,500,224,7,0,45,19,18,0,94,0,0,11,0,0,82,19873,0,12014,0,0,7859,2208,950,950,0,594,0,594,0,0,0,0,0,0,0,0,0,0,0,664,0,0,664,0,0,0,0,0,0,1995
239,American Samoa,2638,1115,1523,0,1523,103,2535,2518,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,1012,0,0,0,0,0,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1617,94,94,0,0,0,0,0,0,0,17,0,0,0,17,0,0,0,1506,0,0,0,0,1506,0,0,0,0,1995
240,Andorra,4193,4140,53,0,53,4150,43,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3959,6,0,0,6,0,0,0,0,0,0,0,18,0,1,0,0,1,0,1,0,0,0,0,0,15,2635,0,0,0,0,0,5,0,11,0,0,264,0,0,0,2355,0,1300,2,0,1273,0,0,0,0,0,25,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1,1,0,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
241,Angola,668278,186434,481844,419422,62422,185991,204422,41871,162551,277865,474927,474948,142392,0,0,0,433,0,0,0,0,0,0,0,0,0,0,0,0,0,958,141001,0,295636,0,0,0,0,18270,276402,0,408,556,21,0,21,0,0,0,0,0,34928,889,0,22978,11043,18,1971,0,0,1899,0,0,0,0,0,0,72,0,0,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,0,0,0,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180878,610,0,4,50,43,32,0,0,470,11,0,4084,0,77,0,0,49,15,255,0,1,0,41,403,3243,156829,0,0,0,0,0,19,0,1024,0,0,154254,0,0,0,1532,0,19355,212,497,11871,0,0,0,0,2543,4232,6115,165,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,2,0,0,0,43,0,0,5905,20,5,5612,31,48,16,0,0,0,0,9,0,0,164,5186,0,1834,0,0,3352,370,370,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
242,Anguilla,2567,850,1717,0,1717,1677,539,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,316,0,16,0,0,0,0,0,300,0,0,384,0,0,0,0,0,0,1,0,6,0,0,0,377,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,18,0,0,9,0,0,0,0,9,0,1717,1667,0,25,0,0,0,0,351,0,0,0,9,155,0,0,0,0,0,0,0,0,21,0,0,0,0,1106,0,0,0,0,0,0,0,0,0,50,0,0,0,12,38,0,0,0,0,0,0,0,0,0,121,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
243,Antigua and Barbuda,27677,19724,7953,0,7953,25288,1582,1536,46,0,662,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,662,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251,4,0,2,2,0,0,0,0,0,0,0,2138,0,0,0,0,1,0,2,0,0,0,0,0,2135,19,0,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,90,5,0,20,0,0,0,0,16,49,7278,7188,0,0,0,10,246,456,669,0,0,0,243,296,28,0,0,143,0,138,0,231,65,53,0,0,0,4610,28,0,0,0,0,0,0,28,0,62,0,5,0,13,36,0,0,0,8,0,0,0,0,0,17458,0,2082,0,0,15376,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
244,Argentina,481201,249154,232047,612,231435,336254,144335,118016,26319,548,844,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,243,0,0,0,0,0,772,0,0,70,702,0,72,0,0,8,0,0,0,0,0,0,0,64,0,0,0,0,0,0,32608,0,0,0,0,0,0,2950,0,0,0,0,2950,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,43,0,0,0,0,29615,0,0,0,30,0,0,29503,0,0,0,0,0,0,0,0,82,0,0,110764,1177,92,30,114,123,214,0,0,572,32,0,7793,0,899,0,0,120,9,175,0,14,93,491,2270,3722,78421,0,118,0,166,0,628,0,25795,9,0,654,74,38,129,50810,0,23373,947,275,10465,4616,0,36,0,1785,5249,201302,5056,0,0,0,8,0,0,28,9,283,0,0,2935,0,0,548,0,0,0,1245,0,0,0,0,0,0,0,7717,0,864,211,318,144,5366,147,667,188529,0,25141,27974,39233,2471,1954,36,0,0,57525,7087,0,17970,9138,122383,0,12036,0,0,110347,13057,13057,12541,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
245,Armenia,902479,658834,243645,0,243645,90901,811578,749107,62471,0,89,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,489,0,143,346,0,0,0,0,89,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241729,31543,7156,5997,221,9767,8402,0,0,0,0,0,0,0,0,573,0,0,0,0,573,0,0,0,0,41,0,0,0,0,0,0,41,0,0,0,0,209572,0,205368,0,413,3297,0,0,29,0,0,0,0,0,0,0,465,0,0,602252,569812,6295,1179,340,165,1010,0,1,516425,57,44340,3962,0,430,655,0,10,2,28,0,1312,870,15,317,323,11416,0,0,0,0,0,10438,0,152,13,0,34,0,122,0,657,0,17062,1896,38,6759,7892,0,0,0,62,415,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,4,0,0,0,66,0,0,1268,1207,1,0,16,0,15,0,0,0,0,0,0,0,29,55872,0,1778,0,0,54094,710,710,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
246,Aruba,10748,5372,5376,0,5376,5871,1138,1124,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,2,0,2,0,0,0,0,0,0,0,0,446,0,3,0,0,1,0,4,0,1,0,0,0,437,66,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,640,0,0,10,0,0,0,0,630,0,5364,4612,0,6,0,0,0,0,3739,0,0,0,22,367,0,0,0,0,0,0,0,0,10,0,0,0,0,468,22,0,22,0,0,0,0,0,0,730,1,2,0,27,276,0,0,0,0,0,0,0,0,424,4190,0,555,0,0,3635,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
247,Australia,343815,285006,58809,1596,57213,299131,44411,20386,24025,125,4190,5624,140,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,81,0,13,0,0,13,0,0,0,0,0,0,1434,0,418,1016,0,0,0,0,4020,111,0,758,3145,6,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,38334,0,0,0,0,0,0,16755,3091,6799,0,112,6119,3,631,2122,0,0,15,1964,0,43,0,0,100,12911,372,142,3945,18,2118,0,1269,3577,991,451,28,6546,0,0,0,1048,0,0,2435,246,0,0,0,0,0,0,0,2817,0,0,157439,2452,25,40,85,737,737,0,0,743,85,0,94578,0,1310,0,0,502,61,1882,140,69,25,878,2088,87623,35483,0,39,0,764,0,19792,0,6643,4022,0,751,0,525,220,2727,0,24926,1547,488,4058,6836,0,70,0,8368,3559,3445,232,0,7,0,46,26,14,0,51,0,0,4,75,0,0,0,0,0,0,0,0,9,0,0,0,0,0,458,0,50,27,46,0,256,0,79,2755,600,115,372,826,197,140,9,0,0,0,367,0,0,129,68221,44,15871,0,0,52306,70752,53227,0,53227,16726,1405,262,14258,356,445,261,0,75,0,0,186,0,0,538,0,120,69,13,330,6,0,0,0,1995
248,Austria,490466,456653,33813,227,33586,452016,38223,37125,1098,227,3408,5253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0,0,0,0,0,0,1845,0,557,1288,0,0,0,0,3381,0,0,861,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17485,79,0,0,79,0,0,393,0,0,0,0,390,3,0,36,0,0,0,0,0,36,0,0,0,123,0,0,0,0,0,0,123,0,0,0,0,16854,0,0,0,125,0,0,6471,110,0,0,0,0,0,0,0,10148,0,0,331991,19000,53,62,2717,5365,5234,0,631,3905,1033,0,27948,0,1400,0,0,258,62,175,0,77,53,936,5614,19373,30158,0,0,292,1440,0,2854,0,13068,22,0,245,0,5461,3564,3212,0,254885,0,1498,12052,185418,2334,487,0,6701,46395,11465,1324,0,0,0,18,0,0,0,34,0,0,0,1072,0,0,200,0,0,0,0,0,0,0,0,0,0,0,742,0,71,14,0,0,569,43,45,9399,3201,169,3988,559,246,205,0,0,0,0,123,0,0,908,100300,27,23600,0,0,76673,23972,23972,23165,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
249,Azerbaijan,1713251,1039056,674195,0,674195,43542,1669709,978052,691657,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674166,81198,35661,11702,209,10639,22987,0,0,0,0,0,0,0,0,898,0,0,0,0,898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592070,560521,0,0,13,6433,0,15271,0,0,0,0,0,0,0,0,9832,0,0,1026113,1011303,14826,466,68,119,304,2531,0,905728,11,87250,6399,0,90,1824,0,4,3,27,0,2254,1711,3,176,307,388,0,0,0,0,0,277,0,52,0,0,5,0,0,0,54,0,8023,668,38,413,6621,0,0,0,58,225,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,12815,0,1045,0,0,11770,128,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
250,Bahamas,29690,27848,1842,0,1842,28708,891,856,35,0,70,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,70,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,5,0,2,0,3,0,0,0,0,0,0,1030,0,7,0,0,2,1,14,0,0,0,8,14,984,47,0,0,0,0,0,21,0,17,0,0,0,0,0,0,9,0,197,15,2,67,0,0,0,0,34,79,1761,1704,0,4,0,0,59,16,91,125,0,0,6,101,22,0,0,616,0,0,0,8,7,0,0,0,649,0,27,0,8,0,0,0,0,19,0,30,0,5,0,1,0,18,0,0,6,0,0,0,0,0,26339,0,1153,0,0,25186,230,230,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
251,Bahrain,25964,4278,21686,10375,11311,5430,20534,1267,19267,0,168,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,0,325,894,0,0,0,0,168,0,0,68,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10425,0,10375,0,0,0,0,0,0,50,25,0,0,0,0,0,0,25,0,0,0,0,9793,0,0,0,38,0,0,0,330,231,150,294,91,0,8161,0,0,498,0,2826,24,0,3,9,12,0,0,0,0,0,0,2486,0,81,0,0,3,1,44,0,0,0,12,50,2295,23,0,0,0,0,0,15,0,2,0,0,0,0,0,0,6,0,293,13,2,57,0,0,0,0,71,150,56,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,31,27,1,0,3,0,0,0,0,0,0,0,0,0,0,802,0,802,0,0,0,650,650,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
252,Bangladesh,5424630,246393,5178237,2323,5175914,1241703,4182215,47841,4134374,712,1798,2554,213,0,0,0,0,0,0,0,0,150,0,0,0,0,14,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,756,0,143,613,0,0,0,0,1585,0,0,45,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5178700,0,0,0,0,0,0,11900,2376,332,0,86,5003,0,4103,4131399,0,0,28,4127135,0,3574,577,0,85,56445,908,0,0,0,33453,1557,94,18587,1211,112,523,978956,0,0,24630,229,0,0,0,4677,110044,2124,82653,43199,491297,0,0,192,219911,0,162802,1306,0,150,12,53,51,0,5,1035,0,0,129103,0,320,0,0,231,0,557,0,4,0,492,2738,124761,21050,0,0,0,0,0,6129,0,14361,8,0,165,0,0,0,387,0,11343,1701,397,2269,5304,0,27,0,590,1055,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,6,9,0,0,24,0,9,14,0,11,0,3,0,0,0,0,0,0,0,0,0,0,72235,0,13101,0,0,59134,8277,6353,5562,791,1334,1334,0,0,0,0,590,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,1995
253,Barbados,89923,84430,5493,0,5493,87655,1972,1918,54,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21482,9,0,2,5,2,0,0,0,0,0,0,21284,0,21,0,0,6,1,11,0,2,0,14,94,21135,26,0,0,0,0,0,7,0,13,0,0,0,0,0,0,6,0,163,13,5,44,0,0,0,0,54,47,5475,4969,0,226,0,171,0,111,296,137,0,0,80,0,131,0,0,497,0,0,0,56,437,315,0,2188,0,324,144,0,6,50,0,0,0,0,88,362,16,4,0,14,0,0,0,0,186,0,0,0,0,142,62603,0,14373,0,0,48230,345,345,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
254,Belarus,1739629,1575234,164395,0,164395,373252,1366377,955688,410689,0,93,934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,216,625,0,0,0,0,93,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162796,125938,61663,24823,771,5390,33291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36858,929,549,0,119,2118,0,32968,0,0,0,0,0,0,0,0,175,0,0,1539718,1362478,0,198,483,125,126812,8547,0,886234,87,339992,161609,0,135,19313,0,16,1,325,0,69060,71602,36,418,703,1826,0,0,0,0,0,573,0,884,4,0,82,0,104,34,145,0,13805,1036,577,1163,10522,0,39,0,19,449,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,661,653,2,0,6,0,0,0,0,0,0,0,0,0,0,34687,0,4245,0,0,30442,829,829,829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
